num_stars,num_forks,num_open_issues,num_contributors,num_closed_issues,authors_info
450,90,0,3,11,
226,47,1,3,4,
21424,17342,378,325,8915,
2230,66,20,8,53,
18672,2029,15,9,12,
142385,23547,249,186,612,
7332,2681,90,79,983,
2946,118,12,20,337,
1020,1437,123,457,4386,
188,23,10,0,20,
49222,8766,7519,456,53031,
767,181,5,2,7,
24731,5219,20,89,215,
1756,101,1,2,0,
11597,3024,66,8,89,
9127,546,493,221,1921,
11627,7376,1772,380,8177,
3050,13908,9,443,19855,
12402,26408,901,390,16312,
2043,79,6,6,14,
